Rep,Bloc,Souche,Traitement,Piq,Ini,7,8,9,10,11
CanCBact1,1,Canada,C,Bact,378.7,303.7,556,750.0999999999999,977.7444444444443,998.3
CanCBact10,10,Canada,C,Bact,334,206.55555555555554,469.66666666666663,658.1111111111111,987,966.5
CanCBact2,2,Canada,C,Bact,330.6,262.29999999999995,574.6999999999999,746.1,999.8000000000001,1032.15
CanCBact3,3,Canada,C,Bact,403.6,277.29999999999995,616.4,818.15,1079.542857142857,1235.1999999999998
CanCBact4,4,Canada,C,Bact,430.6,274,601.5111111111111,700.025,845.275,946.7333333333332
CanCBact5,5,Canada,C,Bact,315,235.5,460.9,615,982.375,1089.142857142857
CanCBact6,6,Canada,C,Bact,332.2,271.59999999999997,498.40000000000003,714.2,902.8,1070.1333333333332
CanCBact7,7,Canada,C,Bact,346.3,293.49999999999994,626.0999999999999,700.4777777777779,1012.325,1134.3666666666668
CanCBact8,8,Canada,C,Bact,365.1,186.29999999999995,486.9,832.4714285714286,889.4714285714286,1077.7333333333331
CanCBact9,9,Canada,C,Bact,218.8,155.8,337.8,536,807.9000000000001,869.2
CanCSte1,1,Canada,C,Ste,324.4,296.80000000000007,458.6,710.9333333333333,935.8222222222222,1125.8000000000002
CanCSte10,10,Canada,C,Ste,301.3,242.14444444444445,485.5888888888889,865.7,963.325,1054.5333333333333
CanCSte2,2,Canada,C,Ste,309.2,263.09999999999997,592.9000000000001,746.3999999999999,889.8,1083.1333333333332
CanCSte3,3,Canada,C,Ste,313.2,152.90000000000003,453.09999999999997,714.911111111111,986.4666666666667,1053.8
CanCSte4,4,Canada,C,Ste,372.2,268.90000000000003,526.0999999999999,738.175,983.3555555555556,976.5999999999999
CanCSte5,5,Canada,C,Ste,313.4,248.30000000000007,462.1,819.4888888888889,925.5000000000001,953.6
CanCSte6,6,Canada,C,Ste,303.3,237.99999999999994,449.7,671.7,895.075,1031.7
CanCSte7,7,Canada,C,Ste,328.7,237.90000000000003,590.5,836.05,1016.5222222222221,1110.3
CanCSte8,8,Canada,C,Ste,275.7,171.8,441.59999999999997,740.3,964.3999999999999,996.8
CanCSte9,9,Canada,C,Ste,263.6,216.2,514,682.1999999999999,987.4,1064.9555555555557
CanDBact1,1,Canada,D,Bact,438.7,356.90000000000003,543,818.3,998.0142857142857,1125.8
CanDBact10,10,Canada,D,Bact,241.5,198.8,359.6,611.6,901.2777777777778,1151.642857142857
CanDBact2,2,Canada,D,Bact,304.3,233.40000000000003,588.3,708.5999999999999,970.4000000000001,1054.7
CanDBact3,3,Canada,D,Bact,463,394.2222222222222,686.8888888888889,824.3333333333333,1055,1122
CanDBact4,4,Canada,D,Bact,387.6,202.10000000000002,489.5,602.9555555555555,874.65,812.9999999999999
CanDBact5,5,Canada,D,Bact,382.8,179.90000000000003,420.09999999999997,721.7,969.2,1124.7
CanDBact6,6,Canada,D,Bact,387.3,303.8,584.2,773.4777777777779,1045.8111111111111,1184.7
CanDBact7,7,Canada,D,Bact,326.6,197.5,585,813.5111111111111,1033.177777777778,1215.9
CanDBact8,8,Canada,D,Bact,330.2,211.7,196.8,734.3,890.675,865
CanDBact9,9,Canada,D,Bact,258.9,226.3,545.5,636.5,997.1999999999999,1062.4333333333334
CanDSte1,1,Canada,D,Ste,408.8,297.2,511.90000000000003,704.2,878.2,1101.6000000000001
CanDSte10,10,Canada,D,Ste,279.7,147.8,469.74444444444447,763.6333333333332,957.0777777777778,1050.3
CanDSte2,2,Canada,D,Ste,422.1,257.1,675.6,828.9,994.6142857142858,1088.9
CanDSte3,3,Canada,D,Ste,331.9,236.39999999999998,563.9,791.1,1025.975,1036.3000000000002
CanDSte4,4,Canada,D,Ste,355.6,222.73333333333335,512.0666666666666,746.275,944.9,1020.9
CanDSte5,5,Canada,D,Ste,198.43391812865497,242.76608187134502,539.4660818713451,729.566081871345,1072.366081871345,1195.9946532999163
CanDSte6,6,Canada,D,Ste,388.3,293.49999999999994,485.7,718.4000000000001,934.4000000000001,958.7
CanDSte7,7,Canada,D,Ste,278.6,225.5,582.6,751.1777777777778,1001.2888888888889,1246.9
CanDSte8,8,Canada,D,Ste,329.1,255.10000000000002,607.1,647.9,954.9999999999999,1085.1
CanDSte9,9,Canada,D,Ste,204,172.60000000000002,365.70000000000005,575.1,912.0999999999999,1014.2222222222222
CanEBact1,1,Canada,E,Bact,421.3,197.99999999999994,275.8,407.2,690.1000000000001,802.9222222222222
CanEBact10,10,Canada,E,Bact,266.1,120.59999999999997,314.9,431.19999999999993,687.5,873.4
CanEBact2,2,Canada,E,Bact,438.6,-108,378.9,453.29999999999995,598.4,736.2888888888889
CanEBact3,3,Canada,E,Bact,343.9,165.60000000000002,324.5,422.20000000000005,648.7,762.5444444444444
CanEBact4,4,Canada,E,Bact,365.2,163.59999999999997,333.40000000000003,419.90000000000003,664.3,823.8
CanEBact5,5,Canada,E,Bact,378.2,101.40000000000003,289.50000000000006,386.09999999999997,653.3,703.5777777777778
CanEBact6,6,Canada,E,Bact,355.6,142.5,293.5,450.6,598.9555555555555,763.5428571428571
CanEBact7,7,Canada,E,Bact,289,107.10000000000002,333.6,439,684.6,826.7777777777778
CanEBact8,8,Canada,E,Bact,312,136.5,317.1,469.1,637.9,861.5555555555557
CanEBact9,9,Canada,E,Bact,189.6,77.28888888888892,194.4,288.0666666666667,449.0666666666666,574.6222222222221
CanESte1,1,Canada,E,Ste,390.6,181.10000000000002,353.5,483.6,700.7333333333332,848.525
CanESte10,10,Canada,E,Ste,296.8,70.09999999999997,234.99999999999994,381.99999999999994,554.9000000000001,803.7
CanESte2,2,Canada,E,Ste,349.1,156.29999999999995,401.69999999999993,505.9,716.7888888888889,840.9
CanESte3,3,Canada,E,Ste,364.4,232.26666666666665,365.7111111111111,445.30000000000007,750.1999999999999,775.6
CanESte4,4,Canada,E,Ste,373.4,109.20000000000005,267.80000000000007,370.6,578.3000000000001,718.6
CanESte5,5,Canada,E,Ste,314.7,166.9666666666667,371.1888888888889,418.2,632.5,810.8555555555556
CanESte6,6,Canada,E,Ste,255.1,144.29999999999998,303,429.6,725.5666666666666,786.9
CanESte7,7,Canada,E,Ste,335.2,72.30000000000001,291.8,381.50000000000006,508.8,732.1333333333332
CanESte8,8,Canada,E,Ste,240.6,78.79999999999998,206.00000000000003,332.5,412.19999999999993,742.1777777777778
CanESte9,9,Canada,E,Ste,243.1,96.23333333333332,261.7888888888889,377.4555555555555,578.6777777777778,795.4555555555556
CanPBact1,1,Canada,P,Bact,387.9,304.5444444444445,546.7666666666667,734.6,1058.3857142857141,1284.2666666666669
CanPBact10,10,Canada,P,Bact,285.9,167.40000000000003,337.80000000000007,656.5444444444445,938.5444444444444,869.3000000000001
CanPBact2,2,Canada,P,Bact,347.3,225.40000000000003,598.5,665.9000000000001,1075.7,1143.3666666666668
CanPBact3,3,Canada,P,Bact,329.1,271,549.8,842.4,956.6,1169.4
CanPBact4,4,Canada,P,Bact,413,232.39999999999998,587.6,746.5999999999999,939.3,812
CanPBact5,5,Canada,P,Bact,293.7,212.2,481.8,707.4000000000001,1080,1203.9666666666667
CanPBact6,6,Canada,P,Bact,355,261.9,526.7,676,967.8888888888889,956.3333333333333
CanPBact7,7,Canada,P,Bact,294.8,170.7,497.90000000000003,818.6444444444444,837.9000000000001,991.2
CanPBact8,8,Canada,P,Bact,332,203.39999999999998,463.6,696.5999999999999,997.2,1104.857142857143
CanPBact9,9,Canada,P,Bact,286.3,217.8,551.7,663.2,1049.5,1086.8428571428572
CanPSte1,1,Canada,P,Ste,435.8,306.49999999999994,568.7,741.7,926.45,1058.8666666666668
CanPSte10,10,Canada,P,Ste,232.6,196.29999999999998,442,690.8,999.4999999999999,1017.7333333333332
CanPSte2,2,Canada,P,Ste,351.4,252.10000000000002,640,716.1555555555557,1141.225,1265.1
CanPSte3,3,Canada,P,Ste,404.6,290.4,561.1999999999999,696.4,906.1142857142858,970.4
CanPSte4,4,Canada,P,Ste,385.9,241.70000000000005,526.8000000000001,684.1,937.6555555555557,1050.35
